City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,odienne,9.51,-7.5692,72.5,94,55,4.36,CI,1635205483
116,ponta delgada,37.7333,-25.6667,68.72,77,40,6.91,PT,1635205350
117,gushikawa,26.3544,127.8686,72.63,76,1,4.61,JP,1635205300
118,pevek,69.7008,170.3133,-0.18,94,100,4.25,RU,1635205322
119,takoradi,4.8845,-1.7554,76.91,91,84,9.4,GH,1635205394
120,ndjole,-0.1783,10.7649,73.06,99,100,3.29,GA,1635205484
121,avera,33.194,-82.5271,74.75,82,49,7.31,US,1635205484
122,sri aman,1.2376,111.4621,75.25,100,92,1.14,MY,1635205485
123,powell river,49.8496,-124.5361,53.33,87,90,20.71,CA,1635205486
124,cayenne,4.9333,-52.3333,78.1,90,75,3.0,GF,1635205240
125,norman wells,65.282,-126.8329,23.04,93,90,3.44,CA,1635205486
126,cabo san lucas,22.8909,-109.9124,87.62,57,1,12.66,MX,1635205215
127,chokurdakh,70.6333,147.9167,-22.65,100,82,1.77,RU,1635205310
128,miyako,39.6367,141.9525,56.48,90,100,7.45,JP,1635205487
129,lishui,28.4604,119.9103,63.64,82,54,1.66,CN,1635205488
130,chardara,41.2547,67.9692,55.26,33,62,4.32,KZ,1635205489
131,puerto ayora,-0.7393,-90.3518,68.56,93,58,5.01,EC,1635205247
132,karratha,-20.7377,116.8463,79.25,35,2,15.93,AU,1635205489
133,cidreira,-30.1811,-50.2056,65.03,80,0,9.24,BR,1635205324
134,asau,46.4333,26.4,33.28,68,0,2.62,RO,1635205452
135,lorengau,-2.0226,147.2712,85.05,66,45,5.77,PG,1635205490
136,yeniseysk,58.4497,92.1703,34.3,73,99,8.97,RU,1635205491
137,jacareacanga,-6.2222,-57.7528,78.89,74,69,2.55,BR,1635205491
138,saint-pierre,-21.3393,55.4781,71.24,78,0,4.61,RE,1635205492
139,provideniya,64.3833,-173.3,21.31,63,75,8.95,RU,1635205333
140,longyearbyen,78.2186,15.6401,19.24,58,0,18.41,SJ,1635205328
141,west bay,19.3667,-81.4167,86.07,79,20,3.0,KY,1635205493
